sorted_string,most_popular_sequence,number_of_apperance
10-11-202-203-3-39-4-40,3-4-10-202-203-11-39-40,1285
10-11-12-13-202-203-3-39-4-40-430-431-5-6,3-4-5-6-10-202-203-11-12-430-13-431-39-40,233
10-11-200-201-39-40,10-200-201-11-39-40,1223
10-11-12-13-202-203-3-310-311-39-4-40,3-4-10-202-203-11-12-310-13-311-39-40,15
10-11-202-203-39-40,10-202-203-11-39-40,351
10-11-202-203-3-39-4-40-5-6,3-4-5-6-10-202-203-11-39-40,412
10-11-202-203-3-39-4-40-5,3-4-5-10-202-11-203-39-40,24
10-11-202-3-39-4-40,3-4-10-202-11-39-40,1
10-11-202-203-204-205-3-39-4-40,3-4-10-204-39-40-202-203-11-205,1
10-11-12-13-202-203-39-40-430-431,10-202-203-11-12-430-13-431-39-40,73
11-12-13-3-39-4-40-430-431-5-6,39-40-3-4-5-6-11-12-430-13-431,10
10-11-12-13-200-201-310-311-39-40,12-310-13-311-39-40-10-200-201-11,27
10-11-204-205-3-39-4-40,3-4-10-204-205-11-39-40,330
10-11-200-201-32-33-39-40,33-39-40-32-10-200-201-11,22
10-11-12-13-202-203-3-39-4-40-5-506-507-6,12-506-13-507-39-40-3-4-5-6-10-202-203-11,14
10-11-12-13-202-203-3-310-311-39-4-40-5-6,3-4-5-6-10-202-11-203-12-310-13-311-39-40,3
10-11-200-201-202-203-32-33-39-40,202-11-201-203-33-39-40-10-200-32,1
10-11-12-13-200-201-39-40-430-431,10-200-201-11-12-430-13-431-39-40,114
10-11-12-13-204-205-3-39-4-40-480-481,12-480-13-481-39-40-3-4-10-204-205-11,5
11-3-39-4-40,39-40-3-4-11,58
10-11-12-13-202-203-3-39-4-40-490-491-5-6,39-40-3-4-5-6-10-202-203-11-12-490-13-491,8
10-11-12-13-200-201-39-40-506-507,11-12-506-13-507-39-40-10-200-201,13
10-11-12-13-200-201-39-40-480-481,11-12-480-13-481-39-40-10-200-201,29
10-11-12-13-202-203-3-39-4-40-430-431,3-4-10-202-203-11-12-430-13-431-39-40,126
10-11-202-203-32-33-39-40,10-202-203-11-33-32-39-40,3
10-11-202-203-3-39-40,3-10-202-203-11-39-40,114
11-3-39-4-40-5-6,3-4-5-6-11-39-40,17
11-12-13-3-310-311-39-4-40,12-310-13-311-39-40-3-4-11,5
10-11-204-205-39-40,10-204-205-11-39-40,56
10-11-12-13-202-203-3-39-4-40-480-481,12-480-13-481-39-40-3-4-10-202-203-11,14
10-11-204-205-3-39-40,3-10-204-205-11-39-40,14
10-11-12-13-204-205-3-310-311-39-40,12-310-13-311-10-204-205-11-39-40-3,2
10-11-12-13-204-205-310-311-39-40,11-12-310-13-311-39-40-10-204-205,2
10-11-12-13-204-205-3-310-311-39-4-40,12-310-13-311-39-40-3-4-10-204-205-11,13
10-11-12-13-204-205-39-40-480-481,10-204-11-205-12-480-13-481-39-40,4
10-11-12-13-202-203-39-40-480-481,10-202-11-203-12-480-13-481-39-40,3
10-11-12-13-202-203-3-39-4-40-430-431-5,3-4-5-10-202-203-11-12-430-13-431-39-40,20
11-12-13-200-201-39-40-430-431-8,39-40-8-200-11-201-12-430-13-431,2
11-12-13-3-39-4-40-430-431,3-4-11-12-430-13-431-39-40,6
10-11-12-13-200-201-39-40-430-431-444-445,39-40-10-200-201-11-12-430-444-445-13-431,5
10-11-12-13-202-203-3-39-4-40-490-491,12-490-13-491-39-40-3-4-10-202-203-11,3
10-11-12-13-202-203-3-39-40-488-489,3-10-202-203-11-12-488-13-489-39-40,1
10-11-202-203-3-32-33-39-4-40,3-4-33-39-40-10-202-203-11-32,5
10-11-12-13-202-203-3-39-4-40-424-425-5-6,12-424-13-425-39-40-3-4-5-6-10-202-203-11,2
10-11-12-13-202-203-3-39-40-430-431,12-430-13-431-39-40-3-10-202-203-11,21
10-11-12-13-202-203-3-39-4-40-424-425,3-4-10-202-203-11-12-424-13-425-39-40,3
10-11-12-13-202-203-3-372-373-39-4-40,12-372-13-373-39-40-3-4-10-202-203-11,4
10-11-12-13-202-203-3-39-4-40-478-479,10-202-203-11-12-478-13-479-39-40-3-4,4
10-11-12-13-202-203-3-39-4-40-480-481-5-6,3-4-5-6-10-202-203-11-12-480-13-481-39-40,6
10-11-12-13-202-203-3-39-4-40-480-481-5,3-4-5-10-202-203-11-12-480-13-481-39-40,1
11-39-40,11-39-40,46
10-11-12-13-200-201-39-40-490-491,12-490-13-491-39-40-10-200-201-11,9
10-11-12-13-200-201-39-40-424-425,12-424-13-425-39-40-10-200-201-11,6
10-11-200-201-204-205-39-40,204-205-11-201-39-40-10-200,3
10-11-12-13-202-203-3-4-40-430-431,12-430-13-431-40-3-4-10-202-11-203,1
10-11-12-13-202-203-3-39-4-40-488-489-5-6,10-202-203-11-12-488-13-489-39-40-3-4-5-6,1
10-11-12-13-202-203-3-366-367-39-4-40-5-6,3-4-5-6-10-202-11-203-12-366-13-367-39-40,2
10-11-12-13-202-203-310-311-39-40,12-310-13-311-39-40-10-202-11-203,4
10-11-12-13-202-203-3-39-4-40-5-506-507,12-506-13-507-39-40-3-4-5-10-202-11-203,2
11-200-201-39-40-8,39-40-11-201-8-200,21
11-12-13-3-39-4-40-490-491-5-6,12-490-13-491-39-40-3-4-5-6-11,1
10-11-12-13-200-201-32-33-39-40-430-431,33-39-40-12-430-13-431-32-10-200-201-11,2
10-11-12-13-202-203-3-344-345-39-4-40-5-6,12-344-13-345-3-4-5-6-10-202-11-203-39-40,1
10-11-200-201-202-203-39-40,202-203-11-201-10-200-39-40,5
10-11-202-203-3-32-33-39-40,32-33-39-40-3-10-202-203-11,2
11-12-13-3-39-4-40-480-481,12-480-13-481-39-40-3-4-11,4
10-11-12-13-202-203-3-344-345-39-4-40-5,39-40-3-4-12-344-13-345-5-10-202-203-11,1
10-11-12-13-200-201-39-40-488-489,11-201-39-40-10-200-12-488-13-489,2
10-11-12-13-204-205-3-39-40-430-431,10-204-205-11-3-12-430-13-431-39-40,1
10-11-12-13-202-203-3-32-32-33-39-4-40-430-431,33-3-4-39-40-32-10-202-203-11-32-12-430-13-431,1
10-11-12-13-202-203-3-39-4-40-430-431-444-445-5,3-4-5-10-202-11-203-12-430-431-444-13-445-39-40,1
10-11-12-13-202-203-3-39-4-40-490-491-5,39-40-12-490-13-491-3-4-5-10-202-11-203,1
10-11-12-13-202-203-39-40-506-507,10-202-11-203-12-506-13-507-39-40,4
11-3-39-40,11-39-40-3,3
10-11-12-13-202-203-3-344-345-39-4-40,12-344-13-345-39-40-3-4-10-202-11-203,2
10-11-12-13-202-203-3-32-33-39-4-40-430-431,3-4-10-202-203-11-33-39-40-32-12-430-13-431,3
11-12-13-39-40-480-481,12-480-13-481-39-40-11,1
11-12-13-3-39-40-430-431,11-12-430-13-431-39-40-3,1
10-11-202-203-204-205-39-40,10-204-202-11-203-205-39-40,1
10-11-12-13-202-203-39-40-430-431-444-445,10-202-203-11-12-430-431-444-13-445-39-40,3
10-11-12-13-202-203-3-39-40-480-481,3-39-40-10-202-11-203-12-480-13-481,1
10-11-12-13-200-201-202-203-39-40-430-431,202-203-11-201-12-430-13-431-39-40-10-200,2
10-11-12-13-200-201-202-203-39-40-506-507,12-506-13-507-39-40-10-200-201-202-11-203,1
10-11-12-13-202-203-3-32-33-39-4-40-506-507,12-506-33-39-40-507-13-3-4-32-10-202-11-203,1
10-11-204-205-3-32-33-39-4-40,10-204-205-11-33-32-39-40-3-4,4
10-11-12-13-202-203-3-39-4-40-480-481-490-491-5-6,12-490-480-491-13-481-39-40-3-4-5-6-10-202-203-11,1
10-11-12-13-202-203-3-39-4-40-430-431-444-445,39-40-3-4-10-202-11-203-12-430-431-444-13-445,4
10-11-12-13-202-203-3-39-4-40-5-502-503-6,12-502-13-503-39-40-3-4-5-6-10-202-203-11,6
10-11-12-13-202-203-3-39-40-490-491,3-10-202-11-203-12-490-13-491-39-40,2
10-11-200-201-40,40-10-200-201-11,2
10-11-12-13-202-203-3-310-311-39-4-40-5,12-310-13-311-39-40-3-4-5-10-202-11-203,3
10-11-12-13-200-201-310-311-39-40-430-431,12-430-431-10-200-310-13-311-201-39-40-11,3
11-12-13-3-310-311-39-4-40-5-6,3-4-5-6-39-40-11-12-310-13-311,1
10-11-12-13-202-203-3-310-311-39-4-40-430-431,310-13-311-3-4-10-202-11-203-39-40-12-430-431,1
10-11-12-13-202-203-3-39-4-40-430-431-488-489-5-6,5-6-10-202-11-203-12-488-489-13-430-431-39-40-3-4,1
10-11-12-13-204-205-3-39-40-480-481,12-480-13-481-39-40-11-205-3-10-204,1
11-3-39-4-40-5,39-40-11-3-4-5,1
10-11-202-203-3-32-32-33-39-4-40,3-4-10-202-11-203-33-39-40-32-32,1
11-12-13-3-39-4-40-430-431-5,3-4-5-11-12-430-13-431-39-40,1
10-11-12-13-200-39-40-430-431,12-430-13-431-39-40-11-10-200,1
10-11-12-13-202-203-3-39-40-502-503,3-10-202-11-203-12-502-13-503-39-40,1
10-11-12-13-202-203-39-40-424-425,12-424-13-425-39-40-10-202-203-11,2
10-11-12-13-204-205-3-310-311-4-40,40-12-310-13-311-3-4-10-11-204-205,1
10-11-12-13-202-203-39-40-490-491,10-202-203-11-39-40-12-490-13-491,3
10-11-12-13-202-203-3-39-4-40-430-431-444-445-5-6,3-4-5-6-10-202-203-11-12-430-431-444-13-445-39-40,4
10-11-12-13-202-203-3-344-345-39-40,39-40-3-10-202-203-11-12-344-13-345,1
11-12-13-39-40-430-431,11-39-40-12-430-13-431,3
10-11-12-13-202-203-3-310-311-39-40,3-10-202-11-203-39-40-12-310-13-311,1
10-11-12-13-202-203-3-32-33-39-40-430-431,3-33-10-202-12-430-431-39-40-13-32-203-11,1
10-200-201-39-40,39-40-10-200-201,1
10-11-12-13-200-201-344-345-39-40,10-200-201-39-40-11-12-344-13-345,2
10-11-12-13-202-203-39-40-502-503,203-11-39-40-10-202-12-502-13-503,2
10-11-12-13-202-203-3-32-33-39-4-40-480-481,10-202-203-11-12-480-13-481-32-33-39-40-3-4,1
10-11-202-203-3-4-40,10-202-203-11-40-3-4,1
10-11-12-13-202-203-3-39-4-40-502-503,10-202-203-11-3-4-39-40-12-502-13-503,1
10-11-202-203-203-3-39-4-40,3-4-10-202-11-203-203-39-40,1
10-11-12-13-200-201-202-203-39-40-430-431-8,39-40-8-200-10-202-11-201-203-12-430-13-431,1
10-11-12-13-200-201-39-40-502-503,11-10-200-201-12-502-13-503-39-40,3
10-11-12-13-202-203-3-344-345-39-4-40-482-483-5-6,12-344-345-482-13-483-3-4-39-40-5-6-10-202-203-11,1
10-11-12-13-204-205-3-39-4-40-430-431,10-204-205-11-12-430-13-431-3-4-39-40,2
11-12-13-3-39-4-40-5-506-507-6,12-506-13-507-39-40-3-4-5-6-11,1
10-11-12-13-200-201-202-203-39-40-490-491,202-11-201-203-12-490-13-491-10-200-39-40,1
10-11-12-13-202-203-3-39-4-40-5-502-503,12-502-13-503-39-40-3-4-5-10-202-203-11,1
11-12-13-39-40-506-507,12-506-507-13-11-39-40,1
10-11-12-13-202-203-3-344-345-39-4-40-482-483,11-12-344-345-482-483-13-39-40-10-202-203-3-4,1
11-12-13-310-311-39-40,39-40-11-12-310-13-311,1
10-11-12-13-200-201-202-203-32-33-39-40-430-431,10-200-201-33-202-11-203-39-40-12-430-13-431-32,1
10-11-202-203-3-32-32-33-39-40,3-10-202-203-33-39-40-11-32-32,1
10-11-12-13-200-201-344-345-39-40-482-483,11-201-39-40-12-344-345-482-13-483-10-200,1
10-11-12-13-202-203-344-345-39-40-480-481,12-480-344-481-13-345-10-202-11-203-39-40,1
10-11-12-13-202-203-3-39-4-40-506-507,10-202-203-11-12-506-13-507-39-40-3-4,2
11-12-13-200-201-39-40-480-481-8,12-480-13-481-8-200-39-40-11-201,1
10-11-12-13-202-203-3-39-40-430-431-444-445,3-10-202-203-11-12-430-431-444-13-445-39-40,1
10-11-12-13-202-203-3-39-40-506-507,11-3-12-506-13-507-39-40-10-202-203,1
10-11-12-13-202-203-3-39-40-424-425,39-40-3-10-202-203-11-12-424-13-425,1
11-12-13-3-39-4-40-424-425,39-40-3-4-11-12-13-424-425,1
10-202-203-40,10-202-203-40,1
10-11-202-203-3-4-5-6,3-4-5-6-10-202-203-11,1
10-11-200-200-202-203-3-39-4-40,10-202-203-39-40-11-200-200-3-4,1
10-11-12-13-202-203-3-39-4-40-430-431-502-503,502-13-503-39-40-3-4-10-202-203-11-12-430-431,1
10-11-12-13-202-203-3-39-4-40-430-431-5-502-503,502-503-13-39-40-11-203-12-430-431-3-4-5-10-202,1
10-11-12-13-202-203-310-311-39-40-430-431,10-202-203-11-12-430-310-431-13-311-39-40,1
10-11-12-13-204-205-3-39-4-40-424-425,3-4-10-204-205-11-39-40-12-424-13-425,3
10-11-200-201-3-39-4-40,10-200-201-11-3-4-39-40,3
10-11-200-201-3-39-40,11-201-39-40-3-10-200,1
10-11-12-13-202-203-3-344-345-39-4-40-480-481,3-4-10-202-12-344-345-480-203-13-481-39-40-11,1
10-11-12-13-200-201-344-345-39-40-480-481,12-344-345-480-481-13-39-40-201-11-10-200,1
10-11-12-13-202-203-344-345-39-40,13-345-39-40-12-344-10-202-203-11,1
10-11-12-13-204-205-3-39-4-40-490-491,39-40-3-4-10-204-11-205-12-490-13-491,1
10-11-12-13-202-203-3-32-33-344-345-39-4-40,10-202-11-203-33-39-40-32-12-344-13-345-3-4,1
10-11-12-13-202-203-3-32-33-344-345-39-4-40-482-483,10-202-11-203-33-39-40-32-12-344-345-482-13-483-3-4,1
11-12-13-200-201-310-311-39-40-8,12-310-13-311-8-200-39-40-11-201,1
10-11-12-13-200-201-202-203-39-40-488-489,12-488-13-489-10-200-39-40-202-11-201-203,1
10-11-200-201-202-203-39-40-8,10-202-11-201-203-39-40-8-200,3
10-11-200-201-202-203-39-40-8-9,10-202-39-203-11-40-8-200-9-201,1
10-11-12-13-202-203-3-32-33-39-4-40-502-503,3-4-10-202-11-203-12-502-13-503-33-39-40-32,2
10-11-12-13-202-203-3-39-4-40-430-431-480-481-5,39-40-10-202-203-11-3-12-430-431-480-4-5-13-481,1
10-11-12-13-202-203-3-39-4-40-430-431-480-481-5-6,39-40-10-202-203-11-3-4-5-12-430-431-480-6-13-481,1
10-11-12-13-200-201-310-311-32-33-39-40,33-39-40-12-310-13-311-32-10-200-201-11,2
10-11-12-13-204-205-3-310-311-32-33-39-4-40,3-4-33-12-310-13-311-39-40-10-204-11-205-32,2
10-11-12-13-202-203-3-32-33-39-4-40-490-491,33-3-39-40-4-10-202-32-203-11-12-490-13-491,1
10-11-12-13-202-203-32-33-39-40-490-491,10-202-11-203-33-32-39-40-12-490-13-491,1
10-11-12-13-200-201-32-33-39-40-424-425,33-10-200-39-40-201-11-12-424-13-425-32,1
11-32-33-39-40,33-39-40-11-32,2
10-11-200-201,10-200-201-11,7
10-11-12-13-202-203-372-373-39-40,12-372-13-373-39-40-10-202-203-11,2
10-11-12-13-200-201-202-203-310-311-39-40,12-310-13-311-10-200-201-39-40-202-11-203,1
11-3-40,1940/3/11,1
11,11,1
10-11-12-13-202-203-3-39-40-478-479,10-202-11-203-12-478-13-479-39-40-3,1
10-11-12-13-202-203-3-39-4-40-488-489,3-4-10-202-203-11-12-488-13-489-39-40,2
11-3-32-33-39-4-40,3-4-11-33-39-40-32,1
10-11-200-201-204-205-32-33-39-40,33-10-200-204-205-11-201-39-40-32,1
10-11-200-201-32-32-33-39-40,10-200-201-11-33-39-40-32-32,1
10-11-12-13-202-3-39-4-40-430-431-5-6,3-4-5-6-10-11-202-12-430-13-431-39-40,1
11-201-39-40,39-40-201-11,1
10-11-12-13-200-201-310-311-39-40-424-425,39-40-12-424-10-200-201-11-425-310-13-311,1
10-11-12-13-202-203-39-40-478-479,12-478-13-479-39-40-10-202-203-11,1
10-11-200-202-203-3-39-4-40,39-40-200-3-4-10-202-11-203,1
11-12-13-39-40-490-491,11-12-490-13-491-39-40,1
10-11-12-13-204-205-3-39-4-40-5-502-503-6,12-502-13-503-39-40-3-4-5-6-10-204-11-205,1
10-11-12-13-202-203-3-310-311-32-33-39-4-40,10-202-11-203-12-310-311-13-33-3-4-39-40-32,1
10-11-12-13-202-203-3-39-4-40-424-425-5,12-424-425-13-39-40-3-4-5-10-202-203-11,1
10-11-11-202-203-203-3-39-4-40,3-10-202-11-11-203-203-39-40-4,1
10-11-200-201-201-39-40,10-200-11-201-201-39-40,1
11-12-13-3-39-4-40-490-491,11-12-490-13-491-39-40-3-4,1
11-12-13-39-40-478-479,12-478-13-479-39-40-11,1
11-12-13-3-39-4-40-430-431-444-445-5-6,11-39-40-5-6-3-4-12-430-444-445-13-431,1
10-11-12-13-200-201-204-205-310-311-39-40,204-11-201-205-39-40-12-310-13-311-10-200,1
10-11-202-203,10-202-11-203,1
10-11-202-203-204-205-3-39-40,3-39-40-10-204-202-11-203-205,1
11-12-13-3-344-345-39-4-40-482-483-5-6,12-344-345-482-13-483-39-40-11-3-4-5-6,1
10-200,10-200,1
10-11-12-13-202-203-32-33-39-40-430-431,10-202-203-11-32-33-39-40-12-430-13-431,1
10-11-12-200-201,10-200-201-11-12,1
10-11-204-3-39-4-40,3-4-11-10-204-39-40,1
11-12-13-372-373-39-40,11-12-372-373-13-39-40,1
10-11-12-13-200-202-203-3-39-4-40-430-431-5-6,39-40-3-4-5-6-10-202-11-203-200-12-430-13-431,1
11-12-13-3-39-4-40-430-431-444-445,12-430-431-444-13-445-39-40-3-4-11,1
11-200-201-39-40-8-9,11-39-40-8-9-200-201,1
10-11-12-13-202-203-203-3-39-4-40-430-431,10-202-11-203-203-12-430-13-431-39-40-3-4,1
10-11-12-13-204-205-3-344-345-39-4-40,10-204-205-3-4-11-12-344-13-345-39-40,1
11-12-13-39-40-424-425,11-39-40-12-424-13-425,1
10-11-12-13-202-203-3-310-311-366-367-39-4-40-5-6,10-202-11-203-3-4-5-6-12-310-311-366-13-367-39-40,1
10-11-12-13-200-201-39-40-480-481-488-489,11-10-200-12-488-480-489-13-481-39-201-40,1
11-12-13-39-40-502-503,11-39-40-12-502-13-503,2
10-11-12-13-202-203-3-39-4-40-424-425-430-431,12-424-425-430-13-431-39-40-3-4-10-202-203-11,2
10-11-12-13-202-203-3-310-311-39-4-40-430-431-5-6,3-4-5-6-10-202-11-203-12-310-430-431-13-311-39-40,1
11-12-13-3-310-311-39-4-40-430-431-5-6,3-4-5-6-11-12-430-310-431-13-311-39-40,1
10-11-200-200-201-39-40-8,201-39-40-10-200-8-200-11,1
11-39,11-39,1
10-11-12-13-200-201-32-33-39-40-488-489,10-200-201-11-33-12-13-488-489-39-40-32,1
10-11-12-13-202-203-3-39-39-4-40-430-431-444-445-5-6,39-203-3-4-5-6-11-10-202-39-12-40-430-13-431-444-445,1
11-13-39-40,11-13-39-40,1
10-11-202-203-204-205-3-39-4-40-5-6,5-6-10-202-204-205-3-4-39-40-11-203,1
